Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR	SV	NL	PL
boy.page.15	“I don’t need your pool!” the porcupine boiled over.\n“You left my garden without any water!”	«Не нужен мне твой бассейн! ‒ возмутился дикобраз.\n‒ Ты оставил мой сад без воды».	„Ich brauche dein Becken nicht!“ Das Stachelschwein kochte vor Wut.\n„Deinetwegen hat mein Garten kein Wasser!“	« Je n’ai pas besoin de ta piscine ! dit le porc-épic, fou de rage.\nMon jardin n’a plus d’eau à cause de toi ! »	«Non voglio la tua piscina», disse arrabbiato il porcospino.\n«Hai lasciato il mio giardino senz’acqua!»	“Eu não preciso da sua piscina!” O porco-espinho explodiu de raiva.\n“Você deixou meu jardim completamente sem água!”	“¡No necesito tu piscina!”, se desgañitó el puercoespín.\n“¡Has dejado mi jardín sin agua!”	「プール⁠なんて​いら⁠ない⁠よ⁠！」​ヤマアラシ⁠は​怒り⁠まし⁠た。\n「君⁠の​せい⁠で​僕⁠の​庭⁠の​水⁠が​なくなっ⁠た​ん⁠だ⁠！」	“Aku tidak membutuhkan kolammu!” amarah si landak meluap-luap.\n“Kamu membiarkan kebunku kekurangan air!”	“Saya tidak perlukan kolam kamu!” landak mendidih.\n“Kamu menyebabkan kebun saya tiada air sedikit pun!”	ثارَ القنفذ قائلاً: ”لم آتي لأسبح بحفرتك! لقد جفّت حديقتي بسببك!“	”Jag behöver inte din pool!” utropade piggsvinet.\n”Tack vare dig har min trädgård inget vatten!”	“Ik wil niet zwemmen!” roept het stekelvarken boos.\n“Mijn tuin krijgt geen water meer!”	– Nie potrzebuję twojego basenu!\n– zagotował się jeżozwierz. – Zostawiłeś mój ogród bez wody!
boy.page.16	The porcupine took {NAME:P1} to the stream,\nand the raccoon saw that instead of the stream there was only dry ground.	Дикобраз отвёл {NAME:P4} к ручью,\nи енот увидел, что там, где раньше бежал ручей, теперь сухо.	Das Stachelschwein nahm {NAME:P1} mit zum Bach,\nund der Waschbär sah, dass nur noch ein ausgetrocknetes Bachbett übrig war.	Le porc-épic emmena {NAME:P1} au ruisseau, et le raton\nlaveur se rendit compte que le ruisseau n’était plus qu’un terrain sec.	Il porcospino accompagnò {NAME:P1} al ruscello,\ne il procione vide che dove c’era il ruscello era rimasta solo terra secca.	O porco-espinho levou {NAME:P1} até o rio.\nMas, chegando lá, o guaxinim não viu um só pingo d'água: era só terra seca.	El puercoespín llevó a {NAME:P1} al arroyo\ny el mapache vio que en lugar del arroyo sólo había tierra seca.	ヤマアラシ⁠が​{NAME:P1}​を​川⁠に​連れ⁠て​行く⁠と、​{NAME:P1}​は\n川⁠の​水⁠が​なくなり、​地面⁠が​カラカラ⁠に​乾い⁠て​いる​の⁠を​見⁠まし⁠た。	Si landak membawa {NAME:P1} ke sungai, dan si rakun melihat\nbahwa yang ada di sana bukannya sungai, tapi tanah yang kering.	Landak membawa {NAME:P1} ke sungai, dan rakun melihat tempat sungai\nitu berada dahulu kini menjadi tanah kering sahaja.	أخذَ القنفذ {NAME:P1} إلى الجدول،\nفلم يجد الراكون إلّا أرضًا قاحلةً مكان الجدول القديم.	Piggsvinet tog med {NAME:P1} till strömmen\noch tvättbjörnen såg att istället för en ström fanns där bara torr mark.	Het stekelvarken neemt {NAME:P1} mee naar de rivier,\nmaar in plaats van water ziet hij alleen maar droge grond.	Jeżozwierz zaprowadził {NAME:P4} nad potok.\nZamiast wody była tylko sucha ziemia.
boy.page.17	The porcupine was very angry. “The stream has changed its course,\nand all the water is going into your pool now.”	Дикобраз был очень недоволен. «Ручей поменял\nсвоё направление, и вся вода уходит в твой бассейн».	Das Stachelschwein war sehr wütend. „Der Strom hat seinen Kurs geändert,\nund all das Wasser fließt jetzt in deinen Pool.“	Le porc-épic était très en colère. « Le ruisseau a changé de sens,\net toute l’eau va dans ta piscine maintenant. »	Il porcospino era molto arrabbiato. «Hai cambiato il corso del ruscello,\ne tutta l’acqua ora arriva nella tua piscina».	O porco-espinho estava muito bravo. “O curso d'água foi desviado e,\nagora, toda a água do rio está indo para a sua piscina.”	El puercoespín estaba exasperado.\n“El arroyo ha cambiado su curso y ahora toda el agua va hacia tu piscina”.	ヤマアラシ⁠は​とても⁠怒り⁠まし⁠た。​「川⁠の​流れ⁠が​変わっ⁠て、\n水⁠が​すべて⁠君⁠の​プール⁠に​流れ⁠て​しまっ⁠た​ん⁠だ」	Sang landak marah besar. “Sungai ini sudah berubah arahnya,\ndan semua air di dalamnya sekarang mengalir ke kolammu.”	Landak berasa sangat marah. “Sungai ini telah menukar laluannya,\ndan semua air menghala ke kolam kamu sekarang.”	قال القنفذ بغضب شديد: ”لقد تغيّر مسار الجدول\nوأصبحت المياه كلّها تصبّ في مسبحك الآن“.	Piggsvinet var mycket förargat. ”Strömmen har ändrat kurs\noch allt vatten rinner ner i din pool nu.”	Het stekelvarken is erg boos. “Het water van de rivier volgt\nnu een andere route: al het water gaat naar jouw zwembad.”	Jeżozwierz był bardzo zły. – Strumień zmienił bieg\ni cała woda wpływa teraz do twojego basenu.
boy.page.18	“You have to make it the way it was before.\nThe stream used to feed my garden, and now all the flowers are dying!”	«Нужно немедленно вернуть всё, как было.\nРаньше ручей питал мой сад, а теперь мои цветы погибают!»	„Du musst es wieder rückgängig machen.\nDer Fluss hat meinen Garten gewässert, und jetzt sterben all meine Pflanzen!“	« Tu dois régler ce problème. Avant, le ruisseau servait\nà alimenter mon jardin, et maintenant toutes mes fleurs fanent ! »	«Devi rimettere le cose come stavano prima. Il ruscello portava acqua\nal mio giardino, ed ora tutti i fiori stanno appassendo!»	“Você precisa fazer alguma coisa para ele voltar a ser o que era antes.\nMeu jardim dependia desse rio e, agora, minhas flores estão morrendo!”	“Lo tienes que retrotraer a cómo estaba antes.\nEl arroyo regaba mi jardín ¡y ahora las flores están muriendo!”	「元⁠の​川⁠に​戻し⁠て⁠よ。​この⁠川⁠は​庭⁠の​水⁠に​なっ⁠て​い⁠た⁠のに、\n今⁠は​花⁠が​みんな​枯れ⁠て​しまっ⁠た​ん⁠だ⁠！」	“Kamu harus mengembalikannya seperti semula. Dulu sungai ini\nbisa mengairi kebunku, tetapi sekarang semua bunganya sekarat!”	“Kamu mesti menjadikan sungai ini seperti sebelum ini. Sungai ini\nselalunya mengairi kebun saya, dan sekarang semua bunga hampir mati!”	”عليكَ إعادته إلى سابق عهده. كان الجدول يسقي حديقتي،\nأما الآن فأزهاري تموت عطشًا!“	”Du måste ändra tillbaka till hur det var förut.\nStrömmen brukade vattna min trädgård och nu håller alla blommor på att dö!”	“Je moet het weer maken zoals het was.\nDe rivier gaf mijn tuin water en nu gaan alle bloemen dood!”	– Musisz przywrócić wszystko, jak było.\nStrumień nawadniał mój ogród, a teraz wszystkie kwiaty usychają!
boy.page.19	“No way,” the raccoon grunted. “Why would I care about your garden?\nIf the flowers are dying, you just need to go for water more often.”	«Вот ещё, ‒ фыркнул енот. ‒ Что мне за дело до твоего сада?\nЕсли цветы засыхают, просто ходи за водой почаще».	„Auf keinen Fall“, knurrte der Waschbär. „Wieso sollte mich dein Garten\nkümmern. Wenn deine Pflanzen eingehen, musst du einfach mehr gießen.“	« Pas question, grogna le raton laveur. Pourquoi devrais-je me soucier\nde ton jardin ? Si les fleurs fanent, va chercher plus d’eau. »	«Neanche per idea», borbottò il procione. «Cosa me ne importa del tuo\ngiardino? Se i fiori stanno morendo, vai a prendere l’acqua più spesso».	“De jeito nenhum”, respondeu o guaxinim. “Mas o que seu jardim tem a ver\ncomigo? Se as flores estão morrendo, é só você regar mais vezes.”	“Claro que no”, refunfuñó el mapache. “¿Por qué he de preocuparme\npor tu jardín? Si las flores están muriendo, tienes que regarlas más a menudo”.	「イヤ⁠だ」​{NAME:P1}​は​言い⁠まし⁠た。​「どうして⁠僕⁠が​君⁠の​庭⁠の​心配⁠を​し​な\nい​と​いけ⁠ない⁠の⁠？⁠花⁠が​枯れ⁠て​いる⁠なら、​もっと⁠水⁠を​あげれ⁠ば​いい​ん⁠だ」	“Mana bisa,” si rakun mendengus. “Mengapa aku harus peduli dengan kebunmu?\nKalau bunga-bunganya sekarat, kamu perlu lebih sering mencari air.”	“Tidak mungkin,” rakun merengus. “Kenapa saya mesti prihatin dengan kebun\nkamu? Kalau bunga hampir mati, kamu cuma perlu menyiram lebih kerap.”	زأر الراكون: ”مستحيل. علامَ أهتمّ بحديقتك؟ إذا كانت أزهارك تموت،\nفعليك الإكثارُ من جلب الماء إليها فحسب“.	”Aldrig,” grymtade tvättbjörnen. ”Varför skulle jag bry mig om din trädgård?\nOm blommorna håller på att dö måste du bara hämta vatten oftare.”	“Echt niet,” gromt de wasbeer. “Wat maakt jouw tuin mij nou uit?\nAls je bloemen doodgaan, dan moet je gewoon vaker water halen.”	– Nie ma mowy – burknął szop. – Co mnie obchodzi twój ogród?\nJeśli kwiaty więdną, po prostu częściej chodź po wodę.
boy.page.20	The porcupine realized that {NAME:P1} was not going to give in,\nand so he left, disappointed.	Дикобраз понял, что {NAME:P1}\nне собирается уступать, и ушёл, разочарованный.	Dem Stachelschwein wurde klar, dass {NAME:P1}\nkeine Einsicht zeigen würde, also verließ er ihn enttäuscht.	Le porc-épic réalisa que {NAME:P1} ne changerait pas d’avis,\net partit sans cacher sa déception.	Il porcospino capì che {NAME:P1}\nnon avrebbe ceduto, perciò se ne andò deluso.	O porco-espinho percebeu que o {NAME:P1}\nnão iria mudar de ideia. Então, desapontado, ele foi embora.	El puercoespín se dio cuenta\nde que {NAME:P1} no iba a ceder y se fue contrariado.	ヤマアラシ⁠は、​{NAME:P1}​に​わかっ⁠て​もらえ⁠ない⁠と\n気づい⁠た⁠ので、​がっかり⁠し⁠ながら​帰っ⁠て​いき⁠まし⁠た。	Si landak menyadari bahwa {NAME:P1} tidak akan menyerah,\njadi dia pergi, dengan memendam rasa kecewa.	Si landak kini sedar {NAME:P1} tidak akan mengalah,\nmaka dia pun pergi dengan kecewa.	أدرك القنفذ أن الكلام لن يثني {NAME:P1}، فغادر منزله خائبًا.	Piggsvinet insåg att {NAME:P1} inte skulle ge sig, så han gick besviken iväg.	Het stekelvarken snapt dat {NAME:P1} niet van gedachten\nzal veranderen en gaat teleurgesteld weer naar huis.	Jeżozwierz zrozumiał, że {NAME:P1} nie ustąpi, i odszedł zawiedziony.
boy.page.21	{NAME:P1} kept enjoying the cool water.	{NAME:P1} продолжил наслаждаться прохладной водичкой.	{NAME:P1} genoss weiter das kalte Wasser.	{NAME:P1} continua de profiter de l’eau fraîche.	{NAME:P1} continuò a godersi l’acqua fresca.	{NAME:P1} continuou curtindo a água fresca.	{NAME:P1} continuó disfrutando del agua fresca.	{NAME:P1}​は​ひんやり⁠し⁠た\n水⁠を​楽しん⁠で​い⁠まし⁠た。	{NAME:P1} terus menikmati air yang dingin.	{NAME:P1} terus menikmati air yang sejuk.	واصل {NAME:P1} الاستمتاع بالماء البارد.	{NAME:P1} fortsatte att njuta av det svala vattnet.	{NAME:P1} geniet ondertussen van het koele water.	{NAME:P1} dalej cieszył się chłodną wodą.
boy.page.22	But it didn’t last long. Next the rabbit came to his house.	Но длилось это недолго. К его дому пришла зайчиха.	Aber es hielt nicht lange an. Als Nächstes kam die Häsin zu seinem Haus.	Mais cela ne dura pas longtemps. La lapine vint cogner à sa porte.	Ma non durò a lungo. Il giorno dopo la lepre venne a trovarlo.	Mas não durou muito, porque, logo depois, a coelha foi até a sua casa.	Pero su solaz no duró mucho tiempo. Una liebre llegó a su casa.	しかし、​それ⁠は​長く⁠は​続き⁠ませ⁠ん⁠でし⁠た。\nウサギ⁠が​{NAME:P1}​の​家⁠に​やって来⁠た​の⁠です。	Tetapi hal itu tidak berlangsung lama.\nSelanjutnya, kelinci mendatangi rumahnya.	Tetapi hal ini tidak lama. Kemudian arnab pula datang ke rumahnya.	لكن لم يدم استمتاعه طويلاً، فقد جاء الأرنب إلى منزله.	Men det höll inte i sig länge. Nu kom kaninen till hans hus.	Maar dat duurt niet lang. Even later staat moeder konijn in zijn tuin.	Ale nie trwało to długo. Następna przyszła króliczka.
boy.page.23	“{NAME:P1}, please give the water back,” she said.\n“The stream you have blocked used to spin my mill’s wheel.”	«{NAME:P1}, верни, пожалуйста, воду, ‒ попросила она.\n‒ Ручей, который ты перекрыл, крутил мою мельницу».	„{NAME:P1}, bitte gib uns das Wasser zurück“, sagte sie.\n„Der Fluss, den du umgeleitet hast, hat mein Mühlrad angetrieben.“	« {NAME:P1}, dit-elle. Sois gentil, rend l’eau. Le ruisseau\nque tu as bloqué servait à faire tourner la roue de mon moulin. »	«{NAME:P1}, per piacere riporta l’acqua al ruscello», disse.\n«Il ruscello che hai bloccato faceva funzionare il mio mulino».	“{NAME:P1}, por favor, devolva a água do rio”, ela disse.\n“Eu usava essa água para girar minha roda d'água.”	“{NAME:P1}, por favor, devuelve el agua”, suplicó.\n“El arroyo que has desviado hacía girar la rueda de mi molino”.	「{NAME:P1}、​水⁠を​返し⁠て」​ウサギ⁠は​言い⁠まし⁠た。\n「あなた⁠が​せき止め⁠た​川⁠は、​水車⁠を​回す​の⁠に​使っ⁠て​い⁠た⁠の」	“{NAME:P1}, tolong kembalikan airnya,” ujarnya. “Sungai yang sudah\nkamu halangi itu dulu digunakan untuk memutar roda pabrikku.”	“{NAME:P1}, tolong kembalikan air ini,” katanya.\n“Sungai yang kamu sekat selalunya memusingkan roda kincir saya.”	قال الأرنب: ”{NAME:P1}، أعد الماء من فضلك.\nكان الجدول الذي قطعتهَ يدوّر عجلة طاحونتي“.	”{NAME:P1}, snälla ge tillbaka vattnet,” sa hon.\n”Strömmen som du har blockerat brukade få hjulet på min kvarn att snurra.”	“{NAME:P1}, geef alsjeblieft het water terug,” zegt ze.\n“Mijn molen werkt niet zonder het water van de rivier.”	– {NAME:P7}, proszę, oddaj wodę – powiedziała.\n– Strumień, który zablokowałeś, napędzał koło mojego młyna.
boy.page.24	“And now I cannot make bread for my little bunnies.”	«Теперь я не могу приготовить хлеб для своих зайчат».	„Und jetzt kann ich kein Brot mehr für meine kleinen Häschen machen.“	« Et maintenant je ne peux pas faire de pain pour mes petits lapereaux. »	«E non posso fare il pane per i miei leprotti».	“E agora eu não consigo mais fazer pão para os meus coelhinhos.”	“Y ahora no puedo hacer el pan para mis pequeños hijos”.	「だから、​小さな⁠ウサギ⁠たち⁠の​ため⁠に\nパン⁠を​作る​こと⁠が​でき⁠ない⁠の」	“Tapi sekarang aku tidak bisa membuat\nroti untuk anak-anakku yang masih kecil.”	“Dan sekarang saya tidak dapat membuat roti untuk anak-anak saya.”	”والآن لا يمكنني صنع الخبز لأرانبي الصغار“.	”Och nu kan jag inte baka bröd till mina små kaninungar.”	“En nu kan ik geen brood bakken voor mijn konijnenkindertjes.”	– Teraz nie mogę upiec chleba dla moich króliczków.
boy.page.25	“Why would I care about your bread?” The raccoon waved aside\nher complaints. “You have to solve your problems for yourself, just like I did!”	«Какое мне дело до твоего хлеба? ‒ отмахнулся енот\nот жалоб зайчихи. ‒ Свои проблемы нужно решать самому, как я!»	„Was interessiert mich dein Brot?“ Der Waschbär tat ihre Beschwerde ab.\n„Du musst deine Probleme selbst lösen, so wie ich es getan habe!“	« Pourquoi devrais-je me soucier de ton pain ? dit-il en secouant la tête.\nRègle tes problèmes toute seule, comme je l’ai fait ! »	«Perché dovrebbe importarmi del tuo pane?». Il procione ignorò le lamentele\ndella lepre. «Devi risolverti i problemi da sola, come ho fatto io!»	“Mas o que seu pão tem a ver comigo?” O guaxinim nem deu bola para o\npedido dela. “Você tem que resolver seus problemas sozinha, assim como eu!”	“¿Por qué he de preocuparme por tu pan?”, rechazó el mapache su reclamo.\n“¡Tú tienes que resolver tus problemas por ti misma, como lo hice yo!”	「どうして⁠僕⁠が​君⁠の​パン⁠の​心配⁠を​し⁠ない⁠と​いけ⁠ない⁠の⁠？」​{NAME:P1}​は​言\nい返し​まし⁠た。​「自分⁠の​問題⁠は​自分⁠で​考え⁠ない⁠と。​僕⁠が​し⁠た​よう⁠に⁠！」	“Mengapa aku harus peduli dengan rotimu?” Si rakon menolak keluhan\nsi kelinci. “Kamu harus memecahkan masalahmu sendiri, seperti aku!”	“Kenapa saya mesti prihatin tentang roti kamu?” Rakun mengetepikan\naduannya. “Kamu perlu menyelesaikan masalah kamu sendiri, seperti saya!”	تجاهل الراكون شكوى الأرنب قائلاً:\n”علامَ أهتمّ بخبزك؟ عليك حلّ مشاكلك بنفسك، تمامًا كما فعلتُ أنا!“	”Varför skulle jag bry mig om ditt bröd?” Tvättbjörnen viftade bort hennes\nklagomål. ”Du måste lösa dina problem själv, precis som jag gjorde!”	“Wat kan mij jouw brood nou schelen?” De wasbeer snapt niet waarom ze\nbij hem komt klagen. “Je moet je eigen problemen oplossen, net als ik!”	– A co mnie obchodzi twój chleb? – machnął łapą szop.\n– Rozwiązuj swoje problemy sama, tak jak ja!
boy.page.26	“I never thought you were so cold-hearted.” The rabbit left sadly.	«Не думала, что ты такой бессердечный»,\n‒ обиделась зайчиха и ушла ни с чем.	„Ich hätte nie gedacht, dass du so gefühllos bist.“\nDie Häsin verschwand traurig, ohne Erfolg gehabt zu haben.	« Je croyais que tu avais un cœur ».\nLa lapine s’en alla triste et les mains vides.	«Non avrei mai pensato che fossi così egoista».\nLa lepre se ne andò, non avendo concluso niente.	“Nunca imaginei que você fosse tão insensível.”\nA coelha foi embora triste e de mãos abanando.	“Nunca imaginé que fueses tan insensible”.\nLa liebre se alejó, triste, con las manos vacías.	「あなた⁠が​そんなに⁠ガンコ⁠だ⁠と⁠は​思わ⁠なかっ⁠た⁠わ」​わかっ⁠て\nもらえ⁠なかっ⁠た⁠ので、​ウサギ⁠は​悲し⁠そう⁠に​帰っ⁠て​いき⁠まし⁠た。	“Aku tak pernah mengira hatimu sedingin itu.” Kelinci pergi dengan sedih.	“Saya tidak sangka kamu begitu keras hati.” Arnab pun berlalu dengan sedih.	قال الأرنب وهو يغادر حزينًا: ”ما ظننتُ قلبكَ قاسيًا لهذه الدرجة“.	”Jag trodde aldrig att du var så kallhjärtad.” Kaninen gick ledsen iväg.	“Ik wist niet dat je zo gemeen was.”\nMoeder konijn gaat verdrietig terug naar huis.	– Nie sądziłam, że możesz być tak bezduszny\n– odparła smutno króliczka i odeszła.
boy.page.27	“I’m so tired of them all,” the raccoon grumbled. “Why should I think\nabout their problems? I rely on nobody, and my life is perfect.”	«Как они мне все надоели, ‒ возмутился енот. ‒ Почему я должен думать\nоб их проблемах? Вот я ни на кого не рассчитываю и живу замечательно».	„Ich bin so müde von alldem“, brummte der Waschbär.\n„Ihre Probleme interessieren mich nicht. Ich brauche sie nicht.“	« Ils me fatiguent tous, grogna le raton laveur. Leurs problèmes\nne sont pas les miens. Je n’ai besoin de personne, et ma vie est parfaite. »	«Che scocciatura», si lamentò il procione. «Perché dovrei pensare\nai loro problemi? Io non dipendo da nessuno e la mia vita è perfetta».	“Cansei de todo mundo!”, resmungou o guaxinim. “O que os problemas\ndeles têm a ver comigo? Eu não dependo de ninguém, minha vida é perfeita.”	“Estoy cansado de ellos”, rezongó el mapache. “¿Por qué he de preocuparme\npor sus problemas? Yo no dependo de nadie, y mi vida es perfecta”.	「疲れ⁠た⁠よ」​{NAME:P1}​は​言い⁠まし⁠た。​「どうして⁠僕⁠が​みんな⁠の​問題⁠を\n考え⁠ない⁠と​いけ⁠ない⁠の⁠？⁠僕⁠は​誰⁠に⁠も​頼ら⁠ない⁠し、​僕⁠の​人生⁠は​最高⁠だ」	“Aku bosan dengan mereka,” rakon menggerutu. “Mengapa aku harus memikirkan\nmasalah mereka? Aku tak tergantung siapa pun, dan hidupku sempurna.”	“Penat betul layan mereka,” rakun mengomel. “Kenapa aku perlu fikir masalah\nmereka? Aku tidak bergantung pada sesiapa, dan hidup aku sempurna.”	تذمّر الراكون قائلاً: ”سئمت منهم جميعًا.\nعلامَ أتعب نفسي بمشاكِلهم؟ أنا لا أتّكل على أحد وحياتي مثاليّة“.	”Jag är så trött på dem,” sa tvättbjörnen. ”Vad har deras problem med mig\natt göra? Jag förlitar mig inte på någon, och mitt liv är perfekt.”	“Waarom komt iedereen bij mij met zijn problemen?” moppert de wasbeer.\n“Ik ben het zat. Ik ben van niemand afhankelijk en mijn leven is perfect.”	– Mam ich wszystkich dość – mruknął szop. – Dlaczego mam myśleć\no cudzych problemach? Na nikim nie polegam i mam idealne życie.
boy.page.28	But {NAME:P1} couldn’t enjoy his well-being for long.\nHe was bothered again, by beavers this time.	Но недолго наслаждался {NAME:P1}.\nЕго отдых снова прервали ‒ на этот раз бобры.	Aber {NAME:P1} konnte ihre Ruhe nicht lange genießen.\nEr wurde erneut gestört, diesmal von den Bibern.	Mais la tranquilité de {NAME:P1} ne dura pas longtemps.\nC’était le tour des castors de venir l’embêter.	Ma {NAME:P1} non poté godersi la vita per molto.\nArrivarono altri scocciatori, i castori questa volta.	Mas a boa-vida do {NAME:P1} não durou muito mais tempo.\nDessa vez, foram os castores que apareceram para perturbá-lo.	Pero {NAME:P1} no pudo disfrutar de su piscina por mucho tiempo.\nLo molestaron otra vez; ahora fueron los castores.	しかし、​{NAME:P1}​の​幸せ⁠は​長く​続き⁠ませ⁠ん⁠でし⁠た。\n今度⁠は​ビーバー⁠に​ジャマ​さ⁠れ⁠まし⁠た。	Tetapi {NAME:P1} tidak bisa berlama-lama menikmati ketenangannya.\nDia diganggu lagi, kali ini oleh sekawanan biwara.	Namun {NAME:P1} tidak dapat menikmati keamanan untuk masa yang lama.\nDia diganggu lagi, kali ini oleh memerang.	لكن {NAME:P1} لم يستمتع بالهدوء طويلاً،\nفقد قاطعه الجيران مجدّدًا. إنهم القنادس هذه المرّة.	Men {NAME:P1} kunde inte njuta av sitt välbefinnande länge.\nHan stördes återigen, men av bävrar den här gången.	Maar {NAME:P1} kan er niet lang van genieten.\nDit keer wordt hij gestoord door de bevers.	Ale {NAME:P1} nie nacieszył się długo. Tym razem przyszły bobry.
boy.page.29	“Your idea will lead to trouble, it’s dangerous,”\nthe beavers shook their heads looking at the pool.	«Плохо ты это придумал, опасно!»\n‒ покачали они головами, поглядев на бассейн.	„Deine Idee wird Ärger verursachen, sie ist gefährlich.“\nDie Biber schüttelten mit ihren Köpfen, während sie das Becken betrachteten.	« Ton idée va entraîner des problèmes, c’est dangereux. »\nLes castors secouèrent la tête en regardant la piscine.	«La tua idea causerà dei guai, è pericolosa»,\ndissero i castori guardando la piscina con apprensione.	“Sua ideia não vai dar nada certo, isso aí é perigoso”,\ndisseram os castores em sinal de reprovação enquanto observavam a piscina.	“Tu idea te acarreará problemas, es peligrosa”,\nmeneaban la cabeza los castores mientras miraban la piscina.	「君⁠の​アイデア⁠は​トラブル⁠に​なる⁠よ、​キケン⁠だ⁠よ」\nビーバー⁠たち⁠は​プール⁠を​見⁠て​首⁠を​横⁠に​振り⁠まし⁠た。	“Idemu akan mendatangkan masalah, berbahaya,”\npara biwara itu geleng-geleng kepala sambil memandang ke kolam.	“Idea kamu akan membawa masalah. Idea ini bahaya,”\nmemerang menggeleng-gelengkan kepala melihat kolam itu.	هزّ القنادس رؤوسهم وهم يبحلقون بالمسبح وقالوا:\n”فكرتكَ هذه خطرة، سوف تتسبب بالمشاكل“.	”Din idé kommer att leda till trubbel, det är farligt,”\nsa bävrarna och skakade på huvudena medan de tittade på poolen.	“Je idee zorgt voor problemen hoor, het is gevaarlijk,”\nzeggen de bevers terwijl ze hoofdschuddend naar het zwembad kijken.	– Twój pomysł skończy się kłopotami. To niebezpieczne\n– powiedzieli bobry, kręcąc głowami przy basenie.
boy.page.30	“You have to lead the water back before it’s too late. It will rain soon.”	«Нужно возвращать воду назад, пока не поздно. Скоро дожди будут».	„Du musst das Wasser wieder zurückleiten,\nbevor es zu spät ist. Es wird bald regnen.“	« Tu dois reconduire l’eau avant qu’il ne soit trop tard.\nLa pluie va bientôt tomber. »	«Devi ricondurre l’acqua fuori dalla piscina. Pioverà presto».	“Você precisa redirecionar a água antes\nque seja tarde demais. Logo menos, vai chover…”	“Tienes que devolver el agua antes\nde que sea demasiado tarde. Pronto va a llover”.	「手遅れ⁠に​なる​前⁠に、​水⁠を​戻す​ん⁠だ。\n​もうすぐ⁠雨⁠が​降る⁠から⁠ね」	“Kamu harus mengembalikan air sebelum terlambat.\nSebentar lagi turun hujan.”	“Kamu mesti kembalikan semula air sebelum terlambat.\nTidak lama lagi hujan akan turun.”	”عليكَ إعادة المياه لمجراها قبل فوات الأوان. ستمطر قريبًا“.	”Du måste leda tillbaka vattnet innan det är för sent.\nDet kommer att regna snart.”	“Je moet het water terug laten stromen voor het te laat is.\nHet gaat binnenkort regenen.”	– Musisz zawrócić wodę, zanim będzie za późno. Wkrótce spadnie deszcz.
boy.page.31	“Get out of here, all of you!” {NAME:P1} yelled, angrily.	«Уходите все прочь!» ‒ рассердился {NAME:P1}.	„Weg mit euch, alle!“, schrie {NAME:P1} und wurde wütend.	« Sortez tous d’ici ! hurla {NAME:P1}. »	«Andatevene tutti!», urlò {NAME:P1}, sempre più arrabbiato.	“Ah, saiam todos daqui!”, gritou {NAME:P1}.\nEle já estava ficando irritado.	“¡Fuera de aquí, todos!”, gritó {NAME:P1}, enfurecido.	「みんな、​ここ⁠から​出⁠て​行っ⁠て⁠！」\n​{NAME:P1}​は​怒っ⁠て​叫び⁠まし⁠た。	“Enyahlah kalian semua dari sini!” {NAME:P1} berteriak penuh amarah.	“Sila keluar dari sini, kamu semua!” {NAME:P1} bertempik dengan marah.	صرخ {NAME:P1} بغضب: ”انصرفوا، كلّ واحدٍ منكم!“	”Ut med er, allihopa!” ropade {NAME:P1} argt.	“Ga weg hier, jullie allemaal!” roept {NAME:P1} boos.	– Wynocha stąd, wszyscy! – krzyknął {NAME:P1}.
boy.page.32	“I don’t need your advice!”	«Я ваших советов не просил!»	„Ich brauche euren Ratschlag nicht!“	« Je n’ai pas besoin de vos conseils ! »	«Non ho bisogno dei vostri consigli!»	“Eu não preciso dos seus conselhos!”	“¡No necesito sus consejos!”	「君たち⁠の​アドバイス⁠なんて​いら⁠ない⁠よ⁠！」	“Aku tidak membutuhkan saran kalian!”	“Saya tidak perlukan nasihat kamu!”	”لست بحاجة نصائحكم!“	”Jag behöver inte era goda råd.”	“Ik heb jullie advies helemaal niet nodig!”	– Nie potrzebuję waszych rad!
